Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2016-808;2016;Long métrage;LEILA;NAIDRA AYADI;NOLITA CINEMA;BOULEVARD  DE CLICHY;75018;2016-12-13;2016-12-13;2.333761;48.883667;"{""coordinates"": [2.333760999591638, 48.88366699973109], ""type"": ""Point""}";48.88366699973109, 2.333760999591638
2020-1138;2020;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue eugène atget, 75013 paris;75013;2020-12-22;2020-12-22;2.34966851;48.82873161;"{""coordinates"": [2.349668511390618, 48.8287316085064], ""type"": ""Point""}";48.8287316085064, 2.349668511390618
2016-854;2016;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;15  RUE  POLIVEAU;75015;2016-03-14;2016-03-14;2.288631;48.834723;"{""coordinates"": [2.288631000661186, 48.83472299966275], ""type"": ""Point""}";48.83472299966275, 2.288631000661186
2021-286;2021;Long métrage;TENOR;Claude Jr Zidi;Firstep Production;60 rue la boétie, 75008 paris;75008;2021-03-25;2021-03-25;2.31232756;48.87340953;"{""coordinates"": [2.31232755811487, 48.873409527051116], ""type"": ""Point""}";48.873409527051116, 2.31232755811487
2016-895;2016;Long métrage;LE BRIO;YVAN ATTAL;CHAPTER 2;203  RUE  DE LOURMEL;75015;2016-11-08;2016-11-08;2.280919;48.836672;"{""coordinates"": [2.280918999973193, 48.836672000241286], ""type"": ""Point""}";48.836672000241286, 2.280918999973193
2021-288;2021;Long métrage;TENOR;Claude Jr Zidi;Firstep Production;avenue de saint-cloud, 75016 paris;75016;2021-03-25;2021-03-25;2.25505836;48.85790831;"{""coordinates"": [2.255058358905374, 48.85790831317155], ""type"": ""Point""}";48.85790831317155, 2.255058358905374
2016-2386;2016;Long métrage;120 BATTEMENTS PAR MINUTE;ROBIN CAMPILLO;LES FILMS DE PIERRE;5  RUE  PARROT;75012;2016-09-15;2016-09-15;2.373077;48.846902;"{""coordinates"": [2.373076999489255, 48.84690200013985], ""type"": ""Point""}";48.84690200013985, 2.373076999489255
2021-342;2021;Série TV;DROLE;Farid BENTOUMI - Bryan MARCIANO;LES FILMS DU KIOSQUE;9 rue de mont-louis, 75011 paris;75011;2021-03-25;2021-03-26;2.38824476;48.8582278;"{""coordinates"": [2.38824476263852, 48.85822779858623], ""type"": ""Point""}";48.85822779858623, 2.38824476263852
2016-2389;2016;Long métrage;THE ESCAPE;DOMINIC SAVAGE;HANNA FILMS;PLACE  DE LA CONCORDE;75008;2016-10-20;2016-10-20;2.3218769999999997;48.867065;"{""coordinates"": [2.321876999360347, 48.86706500040975], ""type"": ""Point""}";48.86706500040975, 2.321876999360347
2021-349;2021;Téléfilm;Haters;Romuald Boulanger;R-lines Productions;7 rue saint-martin, 75004 paris;75004;2021-04-15;2021-04-15;2.34983153;48.85864251;"{""coordinates"": [2.349831528552302, 48.858642507711586], ""type"": ""Point""}";48.858642507711586, 2.349831528552302
2016-2434;2016;Long métrage;MARIAGE BLANC;TAREK BOUDALI;AXEL FILMS;53  RUE  VIEILLE DU TEMPLE;75004;2016-09-16;2016-09-16;2.358385;48.858435;"{""coordinates"": [2.3583849995986252, 48.85843500039142], ""type"": ""Point""}";48.85843500039142, 2.3583849995986252
2016-1116;2016;Série TV;LEO MATTEI/14 ET 15;NICOLAS HERDT;LGM CINEMA;TROTTOIR  SUR LA PLACE BERNARD LAZARE;75003;2016-10-05;2016-10-05;2.357771;48.86593;"{""coordinates"": [2.357771000420422, 48.86592999964751], ""type"": ""Point""}";48.86592999964751, 2.357771000420422
